2024-12-29T11:21:02.434836500-05:00 - INFO - Starting Multi Manager application...
2024-12-29T11:21:02.435103500-05:00 - INFO - Loading workspaces from file...
2024-12-29T11:21:02.435181600-05:00 - INFO - Successfully loaded workspaces from 'workspaces.json'.
2024-12-29T11:21:02.435193-05:00 - INFO - Starting hotkey event handler thread...
2024-12-29T11:21:02.435246800-05:00 - INFO - Launching GUI...
2024-12-29T11:21:02.789173900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.793551900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.796984200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.801135400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.805226100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.809494200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.813804-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.818071100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.821903900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.826035100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.830288600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.834752400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.838679200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.842767900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.846978900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.851152900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.855807700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.860595600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.864883100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.867899-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.872400500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.876156-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.880554100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.884541200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.045716300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.050853600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.064668100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.069454800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.074322-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.076791400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.078995500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.081023300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.085236-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.089031200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.093562200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.097303100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.101647400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.105888300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.110117900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.114392400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.118171100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.122289-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.126540100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.131056100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.134965100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.139027800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.143229400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.147367500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.151520600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.155762-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.159954900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.164500300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.168298-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.172441900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.176674100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.180712900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.184845300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.189031600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.193328100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.197572700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.201586700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.205608900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.209988800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.213954200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.218212300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.222332-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.226879-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.230814900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.234792500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.238944800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.243225800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.247336300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.251553500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.255609-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.259996800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.264002600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.268269-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.272849800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.276583900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.280898200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.284917500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.289064-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.293274-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.297327600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.301562500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.305783-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.309884200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.313992600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.318220-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.322367300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.326560100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.330700200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.334998800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.339032400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.343427700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.347411200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.351614800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.355748800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.360049900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.364118300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.369251900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.372464700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.376626100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.381186-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.384895400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.389062400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.393322200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.397765800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.401621700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.405806400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.409942400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.414260800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.418502100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.422477700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.426661700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.430949100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.435094900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.439280500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.443682500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.447489700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.451698300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.455802300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.460523400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.464279200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.468317800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.472602900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.476726200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.480876600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.485007800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.489171800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.493357500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.497714500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.501740200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.505914200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.510366-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.514322600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.518378200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.522940-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.526772500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.530943900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.535153400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.539453300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.543525800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.547668600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.551808200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.555972700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.671988700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.673531600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.677336-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.681477600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.685789800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.689682600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.693689400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.697862700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.702131800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.706168900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.710519100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.714410500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.718593100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.722747600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.726894400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.731088200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.735258200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.739635800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.743678400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.747760100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.752022400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.756139400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.760311900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.764551700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.768749200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.773187800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.777049600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.781224800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.785381900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.789794700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.793940-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.797840600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.802083600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.806309200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.810402400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.814611500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.819149500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.823016900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.827128900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.831357400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.835439400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.839700700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.843785700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.847925900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.852194200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.856359500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.860424100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.864843300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.868730-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.872941300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.877095500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.881249400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.896511200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.897024-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.897918800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.907454500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.907948-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.910400800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.914666700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.918814900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.922913800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.927154700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.931520100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.935469700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.939626200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.943893-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.948141200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.952132200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.956430100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.960546600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.964683-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.968820600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.972954700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.977295500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.981412700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.985614400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.989913600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.993924300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:03.998187800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.002354500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.006762400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.010689-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.014861900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.019102500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.023284-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.027329100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.032511200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.035576700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.039926800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.045654900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.048115500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.052382400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.063566500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.064124700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.069474-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.221823800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.236054300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.240627400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.244471800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.246977200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.250091600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.254473800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.257987-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.262083900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.266369400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.270425600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.274539600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.278506-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.282696200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.287107900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.291415900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.295420100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.299885100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.303939400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.307848700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.311945500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.316814800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.320791200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.324615700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.328695700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.332906600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.336972-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.341235800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.345328-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.349642800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.353626200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.357848800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.361834500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.366870600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.370652900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.374349200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.378714100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.383203800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.387088200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.391428300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.395381200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.399531100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.403942200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.407762500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.412194900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.416794500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.420641700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.424661600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.428733200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.433210400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.437123400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.441492700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.445532400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.449706900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.453831300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.458360900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.462438500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.466650600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.470602400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.474469600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.478852700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.483425900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.487276-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.491889800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.495220900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.499771500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.504026600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.508096900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.512096-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.516631800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.520524600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.524447800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.528735700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.533020700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.537203400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.541590900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.545571800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.549788500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.553818700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.557952-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.562217100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.566619-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.571435400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.574788400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.578634600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.583310100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.587653900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.591317-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.595490900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.600076500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.604180800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.608204500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.612358100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.616459100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.621068900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.624744400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.628842-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.633523700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.637351700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.641374300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.645950100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.650002300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.653737300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.658054800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:04.662819100-05:00 - INFO - Rendering main panel...
